MISO.eventID,p.val_pre_post,BrainSpan (Postnatal),BrainSpan (Prenatal),GTEx,dPSI_pre_post,DM1_inclusion,Ensembl.geneID,HGNC.genesymbol,Chr,Strand,Start_up,End_up,Start_se,End_se,Start_dn,End_dn,Length_up,Length_se,Length_dn
chr1:10277986:10278128:+@chr1:10279097:10279138:+@chr1:10282322:10282533:+,3.81284472505178e-23,0.797051282051282,0.201147540983607,0.738313953488372,-0.595903741067676,-,ENSG00000054523.17,KIF1B,chr1,+,10277986,10278128,10279097,10279138,10282322,10282533,143,42,212
chr1:10277986:10278128:+@chr1:10279097:10279138:+@chr1:10282400:10282533:+,6.45728021900949e-15,0.539871794871795,0.210491803278689,0.435697674418605,-0.329379991593106,-,ENSG00000054523.17,KIF1B,chr1,+,10277986,10278128,10279097,10279138,10282400,10282533,143,42,134
chr1:109620140:109620278:+@chr1:109620914:109621266:+@chr1:109625303:109625433:+,1.69351550547789e-17,0.816923076923077,0.545081967213115,0.747209302325581,-0.271841109709962,+,ENSG00000116337.15,AMPD2,chr1,+,109620140,109620278,109620914,109621266,109625303,109625433,139,353,131
chr1:109620654:109621266:+@chr1:109625303:109625433:+@chr1:109625662:109625792:+,5.55239966169335e-14,0.363846153846154,0.614590163934426,0.522848837209302,0.250744010088272,-,ENSG00000116337.15,AMPD2,chr1,+,109620654,109621266,109625303,109625433,109625662,109625792,613,131,131
chr1:110225975:110226178:+@chr1:110232221:110232597:+@chr1:110232911:110234044:+,5.33851489627879e-23,0.293589743589744,0.681475409836066,0.36453488372093,0.387885666246322,-,ENSG00000116396.14,KCNC4,chr1,+,110225975,110226178,110232221,110232597,110232911,110234044,204,377,1134
chr1:110963621:110964079:-@chr1:110951288:110952815:-@chr1:110949851:110950123:-,2.63338996626511e-17,0.306410256410256,0.607540983606557,0.279186046511628,0.301130727196301,+,ENSG00000121931.15,LRIF1,chr1,-,110963621,110964079,110951288,110952815,110949851,110950123,459,1528,273
chr1:1337977:1338183:-@chr1:1337018:1337055:-@chr1:1335276:1336515:-,2.87690330359857e-19,0.284358974358974,0.682295081967213,0.220988372093023,0.397936107608239,+,ENSG00000107404.19,DVL1,chr1,-,1337977,1338183,1337018,1337055,1335276,1336515,207,38,1240
chr1:149010443:149010595:+@chr1:149012591:149012776:+@chr1:149016299:149016550:+,2.6742252290605e-20,0.589230769230769,0.0913114754098361,0.413081395348837,-0.497919293820933,-,ENSG00000178104.19,PDE4DIP,chr1,+,149010443,149010595,149012591,149012776,149016299,149016550,153,186,252
chr1:153949115:153949384:-@chr1:153948834:153948900:-@chr1:153948458:153948644:-,3.36200326301452e-21,0.101153846153846,0.507540983606558,0.0507558139534884,0.406387137452711,+,ENSG00000160741.16,CRTC2,chr1,-,153949115,153949384,153948834,153948900,153948458,153948644,270,67,187
chr1:15719734:15719920:+@chr1:15721329:15721388:+@chr1:15725317:15725545:+,2.98412037775352e-20,0.467948717948718,0.187868852459016,0.578372093023256,-0.280079865489702,-,ENSG00000116786.11,PLEKHM2,chr1,+,15719734,15719920,15721329,15721388,15725317,15725545,187,60,229
chr1:159171609:159171853:+@chr1:159189771:159189872:+@chr1:159191936:159192076:+,3.09231577957364e-23,0.0892307692307692,0.345081967213115,0.112790697674419,0.255851197982346,+,ENSG00000162706.12,CADM3,chr1,+,159171609,159171853,159189771,159189872,159191936,159192076,245,102,141
chr1:167773236:167773368:+@chr1:167776064:167776166:+@chr1:167787820:167791919:+,1.10128696416912e-18,0.290641025641026,0.0780327868852459,0.250988372093023,-0.21260823875578,-,ENSG00000197965.11,MPZL1,chr1,+,167773236,167773368,167776064,167776166,167787820,167791919,133,103,4100
chr1:169190643:169190710:-@chr1:169169447:169169554:-@chr1:169132531:169132817:-,2.65282505588416e-21,0.0484615384615385,0.354590163934426,0.0556976744186047,0.306128625472888,+,ENSG00000143156.13,NME7,chr1,-,169190643,169190710,169169447,169169554,169132531,169132817,68,108,287
chr1:172308728:172308839:+@chr1:172323329:172323340:+@chr1:172379018:172379182:+,1.44341344012401e-11,0.695128205128205,0.90655737704918,0.512383720930233,0.211429171920975,-,ENSG00000197959.13,DNM3,chr1,+,172308728,172308839,172323329,172323340,172379018,172379182,112,12,165
chr1:203727395:203727571:+@chr1:203733223:203733400:+@chr1:203739546:203744081:+,8.26783729942981e-11,0.621666666666667,0.291639344262295,0.339244186046512,-0.330027322404372,-,ENSG00000058668.14,ATP2B4,chr1,+,203727395,203727571,203733223,203733400,203739546,203744081,177,178,4536
chr1:210155721:210155910:+@chr1:210159400:210159477:+@chr1:210160729:210171389:+,1.83586310733934e-14,0.471025641025641,0.255245901639344,0.313488372093023,-0.215779739386297,-,ENSG00000143469.18,SYT14,chr1,+,210155721,210155910,210159400,210159477,210160729,210171389,190,78,10661
chr1:21606066:21606197:-@chr1:21603658:21603912:-@chr1:21602804:21602913:-,1.22831932117945e-22,0.376153846153846,0.0814754098360656,0.468081395348837,-0.294678436317781,+,ENSG00000076864.19,RAP1GAP,chr1,-,21606066,21606197,21603658,21603912,21602804,21602913,132,255,110
chr1:21606066:21606197:-@chr1:21603835:21603912:-@chr1:21602804:21602913:-,6.09846725291544e-24,0.476923076923077,0.0667213114754098,0.484127906976744,-0.410201765447667,+,ENSG00000076864.19,RAP1GAP,chr1,-,21606066,21606197,21603835,21603912,21602804,21602913,132,78,110
chr1:23059073:23059167:+@chr1:23066060:23066071:+@chr1:23068539:23068681:+,4.49656348665786e-11,0.315384615384615,0.515573770491803,0.276279069767442,0.200189155107188,+,ENSG00000004487.15,KDM1A,chr1,+,23059073,23059167,23066060,23066071,23068539,23068681,95,12,143
chr1:241639882:241640254:-@chr1:241604260:241604579:-@chr1:241597746:241597997:-,1.6513464616611e-15,0.633461538461538,0.390491803278689,0.604709302325581,-0.24296973518285,-,ENSG00000054277.13,OPN3,chr1,-,241639882,241640254,241604260,241604579,241597746,241597997,373,320,252
chr1:29230731:29230942:-@chr1:29223140:29223260:-@chr1:29220838:29220921:-,4.79013685048363e-09,0.51025641025641,0.307704918032787,0.500697674418605,-0.202551492223623,-,ENSG00000116353.15,MECR,chr1,-,29230731,29230942,29223140,29223260,29220838,29220921,212,121,84
chr1:31728182:31728280:-@chr1:31728025:31728081:-@chr1:31727117:31727605:-,1.18816193107912e-19,0.758205128205128,0.554754098360656,0.782151162790698,-0.203451029844473,-,ENSG00000121753.12,ADGRB2,chr1,-,31728182,31728280,31728025,31728081,31727117,31727605,99,57,489
chr1:31735580:31735665:-@chr1:31735183:31735281:-@chr1:31732972:31733143:-,3.83772105530805e-21,0.558461538461538,0.329836065573771,0.582790697674419,-0.228625472887768,-,ENSG00000121753.12,ADGRB2,chr1,-,31735580,31735665,31735183,31735281,31732972,31733143,86,99,172
chr1:3872472:3872572:+@chr1:3873014:3873137:+@chr1:3883507:3885429:+,4.1634717847576e-19,0.321410256410256,0.110819672131148,0.156220930232558,-0.210590584279109,+,ENSG00000169598.15,DFFB,chr1,+,3872472,3872572,3873014,3873137,3883507,3885429,101,124,1923
chr1:39463612:39463686:+@chr1:39465095:39465112:+@chr1:39468615:39468732:+,7.74888679688016e-12,0.626410256410256,0.845573770491803,0.503662790697674,0.219163514081547,-,ENSG00000127603.23,MACF1,chr1,+,39463612,39463686,39465095,39465112,39468615,39468732,75,18,118
chr1:44674331:44674477:-@chr1:44645360:44645464:-@chr1:44635238:44636457:-,1.64365150329123e-14,0.14948717948718,0.368196721311475,0.113372093023256,0.218709541824296,+,ENSG00000126106.13,TMEM53,chr1,-,44674331,44674477,44645360,44645464,44635238,44636457,147,105,1220
chr1:51714003:51714079:+@chr1:51740143:51740211:+@chr1:51745536:51745631:+,2.39356368332719e-18,0.329358974358974,0.111803278688525,0.222267441860465,-0.21755569567045,-,ENSG00000117859.18,OSBPL9,chr1,+,51714003,51714079,51740143,51740211,51745536,51745631,77,69,96
chr1:53860056:53860153:-@chr1:53855001:53855051:-@chr1:53851733:53852270:-,9.39517202253445e-13,0.427179487179487,0.661311475409836,0.581220930232558,0.234131988230349,-,ENSG00000058799.14,YIPF1,chr1,-,53860056,53860153,53855001,53855051,53851733,53852270,98,51,538
chr1:54281438:54281527:-@chr1:54258069:54258149:-@chr1:54257127:54257186:-,4.99735955914706e-24,0.0361538461538462,0.73655737704918,0.0221511627906977,0.700403530895334,+,ENSG00000157216.15,SSBP3,chr1,-,54281438,54281527,54258069,54258149,54257127,54257186,90,81,60
chr1:71066776:71066934:-@chr1:71065678:71065752:-@chr1:71063291:71065137:-,2.21510145275404e-12,0.510897435897436,0.723114754098361,0.364011627906977,0.212217318200925,+,ENSG00000132485.13,ZRANB2,chr1,-,71066776,71066934,71065678,71065752,71063291,71065137,159,75,1847
