MISO.eventID,p.val_DM1_CTRL,GTEx,Otero2021 (DM1),Otero2021 (Unaffected),dPSI_DM1_CTRL,DM1_inclusion,Ensembl.geneID,HGNC.genesymbol,Chr,Strand,Start_up,End_up,Start_se,End_se,Start_dn,End_dn,Length_up,Length_se,Length_dn
chr1:17607802:17607977:+@chr1:17613058:17613174:+@chr1:17616094:17616202:+,6.85659402245571e-05,0.200872093023256,0.542380952380952,0.21,0.332380952380952,+,ENSG00000074964.16,ARHGEF10L,chr1,+,17607802,17607977,17613058,17613174,17616094,17616202,176,117,109
chr1:17632321:17632466:+@chr1:17634548:17634562:+@chr1:17634835:17635016:+,0.000126222819354369,0.512325581395349,0.373809523809524,0.64625,-0.272440476190476,-,ENSG00000074964.16,ARHGEF10L,chr1,+,17632321,17632466,17634548,17634562,17634835,17635016,146,15,182
chr1:46594113:46594280:-@chr1:46585874:46585974:-@chr1:46583228:46583329:-,0.000186598799351421,0.453081395348837,0.297619047619048,0.59875,-0.301130952380952,-,ENSG00000079277.19,MKNK1,chr1,-,46594113,46594280,46585874,46585974,46583228,46583329,168,101,102
chr10:122241958:122242001:+@chr10:122245065:122245073:+@chr10:122248643:122248803:+,0.00010418333009784,0.0801744186046512,0.413809523809524,0.1275,0.286309523809524,+,ENSG00000138162.18,TACC2,chr10,+,122241958,122242001,122245065,122245073,122248643,122248803,44,9,161
chr10:95354882:95354967:-@chr10:95351209:95351376:-@chr10:95346406:95346452:-,4.42765518384105e-05,0.92843023255814,0.64952380952381,0.9675,-0.317976190476191,-,ENSG00000095637.21,SORBS1,chr10,-,95354882,95354967,95351209,95351376,95346406,95346452,86,168,47
chr10:95354882:95354967:-@chr10:95351216:95351376:-@chr10:95346406:95346452:-,4.49548945138303e-05,0.909709302325581,0.582380952380952,0.955,-0.372619047619048,-,ENSG00000095637.21,SORBS1,chr10,-,95354882,95354967,95351216,95351376,95346406,95346452,86,161,47
chr10:95381685:95381799:-@chr10:95375973:95376056:-@chr10:95367650:95367699:-,4.56412903720541e-05,0.807093023255814,0.620476190476191,0.89375,-0.27327380952381,-,ENSG00000095637.21,SORBS1,chr10,-,95381685,95381799,95375973,95376056,95367650,95367699,115,84,50
chr11:20048728:20049195:+@chr11:20051289:20051333:+@chr11:20054080:20054240:+,0.000752332767972241,0.610988372093023,0.312857142857143,0.56625,-0.253392857142857,-,ENSG00000166833.19,NAV2,chr11,+,20048728,20049195,20051289,20051333,20054080,20054240,468,45,161
chr11:35219316:35219387:+@chr11:35221654:35221732:+@chr11:35229129:35230027:+,0.00419674043057158,0.914244186046512,0.923333333333333,0.685,0.238333333333333,+,ENSG00000026508.17,CD44,chr11,+,35219316,35219387,35221654,35221732,35229129,35230027,72,79,899
chr11:69675190:69675416:-@chr11:69674551:69674766:-@chr11:69671749:69671819:-,0.00127097074038056,0.191976744186047,0.521904761904762,0.77625,-0.254345238095238,-,ENSG00000149716.12,ORAOV1,chr11,-,69675190,69675416,69674551,69674766,69671749,69671819,227,216,71
chr11:72012895:72016260:-@chr11:72012401:72012442:-@chr11:72010786:72010854:-,0.000746672819393888,0.48,0.218571428571429,0.43,-0.211428571428571,-,ENSG00000137497.17,NUMA1,chr11,-,72012895,72016260,72012401,72012442,72010786,72010854,3366,42,69
chr12:10713211:10713333:-@chr12:10709908:10710114:-@chr12:10704051:10704148:-,0.000812064845646166,0.563546511627907,0.706190476190476,0.49875,0.207440476190476,+,ENSG00000060138.12,YBX3,chr12,-,10713211,10713333,10709908,10710114,10704051,10704148,123,207,98
chr12:121245140:121245240:-@chr12:121244573:121244615:-@chr12:121237697:121240869:-,4.92847769811614e-05,0.538720930232558,0.662380952380952,0.925,-0.262619047619048,-,ENSG00000110931.18,CAMKK2,chr12,-,121245140,121245240,121244573,121244615,121237697,121240869,101,43,3173
chr12:19269770:19269885:+@chr12:19270188:19270205:+@chr12:19274516:19274983:+,0.000273895911557902,0.317732558139535,0.696190476190476,0.48875,0.207440476190476,+,ENSG00000052126.14,PLEKHA5,chr12,+,19269770,19269885,19270188,19270205,19274516,19274983,116,18,468
chr12:32701415:32701562:+@chr12:32705825:32705863:+@chr12:32707367:32707413:+,0.000154362870646849,0.449709302325581,0.493809523809524,0.7325,-0.238690476190476,-,ENSG00000087470.17,DNM1L,chr12,+,32701415,32701562,32705825,32705863,32707367,32707413,148,39,47
chr12:42374863:42375074:+@chr12:42384940:42384996:+@chr12:42387456:42387535:+,0.000152920242946833,0.480523255813954,0.22,0.49375,-0.27375,-,ENSG00000134283.17,PPHLN1,chr12,+,42374863,42375074,42384940,42384996,42387456,42387535,212,57,80
chr13:113090068:113090160:+@chr13:113091121:113091195:+@chr13:113094514:113094635:+,5.59996991441763e-05,0.846046511627907,0.544761904761905,0.84125,-0.296488095238095,-,ENSG00000126217.20,MCF2L,chr13,+,113090068,113090160,113091121,113091195,113094514,113094635,93,75,122
chr13:35793366:35793479:-@chr13:35788212:35788285:-@chr13:35768652:35774699:-,4.50524565170812e-05,0.35953488372093,0.393333333333333,0.605,-0.211666666666667,-,ENSG00000133083.14,DCLK1,chr13,-,35793366,35793479,35788212,35788285,35768652,35774699,114,74,6048
chr13:97346804:97347067:+@chr13:97356796:97356849:+@chr13:97357482:97357635:+,6.17224723744144e-05,0.240116279069767,0.630952380952381,0.26625,0.364702380952381,+,ENSG00000139793.18,MBNL2,chr13,+,97346804,97347067,97356796,97356849,97357482,97357635,264,54,154
chr13:97357482:97357635:+@chr13:97366459:97366553:+@chr13:97391322:97394120:+,0.000894567197897935,0.250290697674419,0.478571428571429,0.245,0.233571428571429,+,ENSG00000139793.18,MBNL2,chr13,+,97357482,97357635,97366459,97366553,97391322,97394120,154,95,2799
chr13:97365136:97365171:+@chr13:97366459:97366553:+@chr13:97391322:97394120:+,0.00069256320627636,0.268255813953488,0.621904761904762,0.34,0.281904761904762,+,ENSG00000139793.18,MBNL2,chr13,+,97365136,97365171,97366459,97366553,97391322,97394120,36,95,2799
chr14:105384879:105384987:+@chr14:105385685:105385717:+@chr14:105389961:105390003:+,0.00311919873646645,0.416279069767442,0.395238095238095,0.6425,-0.247261904761905,-,ENSG00000179364.13,PACS2,chr14,+,105384879,105384987,105385685,105385717,105389961,105390003,109,33,43
chr14:72536186:72536275:+@chr14:72540041:72540094:+@chr14:72562417:72566529:+,0.000155233293412974,0.442732558139535,0.33047619047619,0.59125,-0.26077380952381,-,ENSG00000182732.16,RGS6,chr14,+,72536186,72536275,72540041,72540094,72562417,72566529,90,54,4113
chr15:29720358:29720708:-@chr15:29719777:29720016:-@chr15:29718266:29719138:-,0.00150545444119316,0.597558139534884,0.358095238095238,0.57125,-0.213154761904762,-,ENSG00000104067.16,TJP1,chr15,-,29720358,29720708,29719777,29720016,29718266,29719138,351,240,873
chr15:60397943:60397986:-@chr15:60386028:60386086:-@chr15:60364429:60364523:-,0.000898516150737058,0.814302325581395,0.778571428571429,0.5775,0.201071428571429,+,ENSG00000182718.16,ANXA2,chr15,-,60397943,60397986,60386028,60386086,60364429,60364523,44,59,95
chr15:60397943:60397986:-@chr15:60397258:60397338:-@chr15:60364429:60364523:-,0.000750065282772797,0.2025,0.208571428571429,0.4675,-0.258928571428571,-,ENSG00000182718.16,ANXA2,chr15,-,60397943,60397986,60397258,60397338,60364429,60364523,44,81,95
chr16:15714909:15715081:-@chr16:15708803:15708841:-@chr16:15703172:15704123:-,6.82828554843053e-05,0.348488372093023,0.131904761904762,0.39625,-0.264345238095238,-,ENSG00000133392.17,MYH11,chr16,-,15714909,15715081,15708803,15708841,15703172,15704123,173,39,952
chr16:2268055:2268114:-@chr16:2267175:2267218:-@chr16:2264573:2264760:-,4.27559516490337e-05,0.128720930232558,0.0561904761904762,0.2675,-0.211309523809524,-,ENSG00000205937.11,RNPS1,chr16,-,2268055,2268114,2267175,2267218,2264573,2264760,60,44,188
chr16:57759728:57759836:-@chr16:57759125:57759153:-@chr16:57758217:57758909:-,8.34389567694624e-05,0.947441860465116,0.658571428571429,0.945,-0.286428571428571,-,ENSG00000140859.15,KIFC3,chr16,-,57759728,57759836,57759125,57759153,57758217,57758909,109,29,693
chr16:70468849:70468968:+@chr16:70469152:70469323:+@chr16:70470314:70470426:+,0.001387425963604,0.660174418604651,0.684761904761905,0.4625,0.222261904761905,+,ENSG00000157353.16,FUK,chr16,+,70468849,70468968,70469152,70469323,70470314,70470426,120,172,113
chr16:70679630:70679704:-@chr16:70679315:70679323:-@chr16:70678252:70678409:-,0.000137780887933213,0.632383720930233,0.482380952380952,0.71375,-0.231369047619048,-,ENSG00000132613.14,MTSS1L,chr16,-,70679630,70679704,70679315,70679323,70678252,70678409,75,9,158
chr16:84699995:84700111:+@chr16:84716195:84716518:+@chr16:84733053:84733105:+,0.00137985771756497,0.0956395348837209,0.490952380952381,0.7175,-0.226547619047619,-,ENSG00000103194.15,USP10,chr16,+,84699995,84700111,84716195,84716518,84733053,84733105,117,324,53
chr17:12958717:12958897:+@chr17:12973302:12973319:+@chr17:12974089:12974310:+,5.58814067725142e-05,0.620174418604651,0.247142857142857,0.7675,-0.520357142857143,-,ENSG00000006740.16,ARHGAP44,chr17,+,12958717,12958897,12973302,12973319,12974089,12974310,181,18,222
chr17:17861476:17861551:-@chr17:17857769:17857855:-@chr17:17850893:17850952:-,0.000207805133760702,0.798255813953488,0.527142857142857,0.8125,-0.285357142857143,-,ENSG00000175662.17,TOM1L2,chr17,-,17861476,17861551,17857769,17857855,17850893,17850952,76,87,60
chr17:45962321:45962470:+@chr17:45971859:45971945:+@chr17:45978375:45978440:+,0.000120730306216282,0.483837209302326,0.151428571428571,0.62125,-0.469821428571429,-,ENSG00000186868.15,MAPT,chr17,+,45962321,45962470,45971859,45971945,45978375,45978440,150,87,66
chr17:75754576:75754815:+@chr17:75755055:75755213:+@chr17:75755701:75755850:+,0.000332967825010264,0.500581395348837,0.247619047619048,0.61625,-0.368630952380952,-,ENSG00000132470.13,ITGB4,chr17,+,75754576,75754815,75755055,75755213,75755701,75755850,240,159,150
chr17:82248875:82249014:-@chr17:82245976:82246039:-@chr17:82244362:82244831:-,0.000125013157881826,0.536627906976744,0.238095238095238,0.5675,-0.329404761904762,-,ENSG00000141551.14,CSNK1D,chr17,-,82248875,82249014,82245976,82246039,82244362,82244831,140,64,470
chr17:8535387:8535501:-@chr17:8530623:8530685:-@chr17:8521092:8521285:-,5.59996991441763e-05,0.336337209302326,0.152857142857143,0.5225,-0.369642857142857,-,ENSG00000133026.12,MYH10,chr17,-,8535387,8535501,8530623,8530685,8521092,8521285,115,63,194
chr18:12308687:12308795:+@chr18:12310943:12311053:+@chr18:12325067:12326619:+,0.00225090954745359,0.862441860465116,0.842857142857143,0.58875,0.254107142857143,+,ENSG00000176014.12,TUBB6,chr18,+,12308687,12308795,12310943,12311053,12325067,12326619,109,111,1553
chr18:12794384:12794485:-@chr18:12793482:12793574:-@chr18:12785481:12785844:-,0.000399741071811184,0.122906976744186,0.33,0.5875,-0.2575,-,ENSG00000175354.18,PTPN2,chr18,-,12794384,12794485,12793482,12793574,12785481,12785844,102,93,364
chr18:3729135:3729375:-@chr18:3656084:3656113:-@chr18:3581875:3582248:-,0.000186257037118106,0.473023255813954,0.23,0.53125,-0.30125,-,ENSG00000170579.16,DLGAP1,chr18,-,3729135,3729375,3656084,3656113,3581875,3582248,241,30,374
chr18:50275600:50275728:-@chr18:50275370:50275444:-@chr18:50275129:50275245:-,0.000524613579118774,0.339883720930233,0.702857142857143,0.47875,0.224107142857143,+,ENSG00000141644.17,MBD1,chr18,-,50275600,50275728,50275370,50275444,50275129,50275245,129,75,117
chr19:12661260:12661376:-@chr19:12658428:12658510:-@chr19:12658224:12658344:-,0.0045424312538134,0.547267441860465,0.49,0.2825,0.2075,+,ENSG00000104774.12,MAN2B1,chr19,-,12661260,12661376,12658428,12658510,12658224,12658344,117,83,121
chr19:1270928:1271036:+@chr19:1271329:1271467:+@chr19:1271551:1271632:+,0.000134338422412906,0.644069767441861,0.964761904761905,0.745,0.219761904761905,+,ENSG00000099622.13,CIRBP,chr19,+,1270928,1271036,1271329,1271467,1271551,1271632,109,139,82
chr19:13212103:13212216:-@chr19:13210617:13210652:-@chr19:13209312:13209498:-,0.000103978595724839,0.767209302325581,0.644761904761905,0.88875,-0.243988095238095,-,ENSG00000141837.19,CACNA1A,chr19,-,13212103,13212216,13210617,13210652,13209312,13209498,114,36,187
chr19:13230082:13230209:-@chr19:13228699:13228795:-@chr19:13224667:13224772:-,0.00583490343707523,0.529127906976744,0.525238095238095,0.78625,-0.261011904761905,-,ENSG00000141837.19,CACNA1A,chr19,-,13230082,13230209,13228699,13228795,13224667,13224772,128,97,106
chr19:1615686:1615821:-@chr19:1615285:1615485:-@chr19:1612207:1612433:-,0.00163925937575955,0.382906976744186,0.532857142857143,0.32125,0.211607142857143,+,ENSG00000071564.14,TCF3,chr19,-,1615686,1615821,1615285,1615485,1612207,1612433,136,201,227
chr19:18742910:18743026:+@chr19:18744108:18744155:+@chr19:18745823:18745960:+,6.82828554843053e-05,0.354651162790698,0.224761904761905,0.45875,-0.233988095238095,-,ENSG00000105662.15,CRTC1,chr19,+,18742910,18743026,18744108,18744155,18745823,18745960,117,48,138
chr19:39846291:39846357:-@chr19:39840617:39840787:-@chr19:39840414:39840515:-,0.000296414292522936,0.482383720930233,0.800476190476191,0.53,0.27047619047619,+,ENSG00000105202.8,FBL,chr19,-,39846291,39846357,39840617,39840787,39840414,39840515,67,171,102
chr19:39846291:39846357:-@chr19:39840620:39840787:-@chr19:39840414:39840515:-,0.000475822938878651,0.439127906976744,0.793333333333333,0.50625,0.287083333333333,+,ENSG00000105202.8,FBL,chr19,-,39846291,39846357,39840620,39840787,39840414,39840515,67,168,102
chr19:39846291:39846357:-@chr19:39840656:39840787:-@chr19:39840414:39840515:-,0.000978955976135955,0.523837209302326,0.799047619047619,0.55375,0.245297619047619,+,ENSG00000105202.8,FBL,chr19,-,39846291,39846357,39840656,39840787,39840414,39840515,67,132,102
chr19:57546457:57547993:-@chr19:57544237:57544583:-@chr19:57541840:57543243:-,0.00190285363931185,0.3125,0.487619047619048,0.70375,-0.216130952380952,-,ENSG00000251369.8,ZNF550,chr19,-,57546457,57547993,57544237,57544583,57541840,57543243,1537,347,1404
chr19:736019:736078:+@chr19:740352:740483:+@chr19:746285:748329:+,7.38160688433937e-05,0.380523255813954,0.106190476190476,0.425,-0.318809523809524,-,ENSG00000099864.17,PALM,chr19,+,736019,736078,740352,740483,746285,748329,60,132,2045
chr2:121447337:121447507:-@chr2:121444939:121444962:-@chr2:121430073:121430177:-,0.000102553957575199,0.237848837209302,0.44,0.1425,0.2975,+,ENSG00000074054.17,CLASP1,chr2,-,121447337,121447507,121444939,121444962,121430073,121430177,171,24,105
chr2:172497975:172498100:+@chr2:172501772:172501901:+@chr2:172504091:172504252:+,0.00052712384457912,0.56953488372093,0.346666666666667,0.65375,-0.307083333333333,-,ENSG00000091409.14,ITGA6,chr2,+,172497975,172498100,172501772,172501901,172504091,172504252,126,130,162
chr2:215382212:215382325:-@chr2:215380811:215381080:-@chr2:215379130:215379317:-,0.00125867046398858,0.247790697674419,0.540952380952381,0.33375,0.207202380952381,+,ENSG00000115414.18,FN1,chr2,-,215382212,215382325,215380811,215381080,215379130,215379317,114,270,188
chr2:215394528:215394719:-@chr2:215392931:215393203:-@chr2:215391632:215391814:-,6.21109290919757e-05,0.22203488372093,0.48952380952381,0.21625,0.27327380952381,+,ENSG00000115414.18,FN1,chr2,-,215394528,215394719,215392931,215393203,215391632,215391814,192,273,183
chr2:218287207:218287303:-@chr2:218285763:218285938:-@chr2:218281940:218282181:-,0.000523778685445459,0.118139534883721,0.228095238095238,0.455,-0.226904761904762,-,ENSG00000135926.14,TMBIM1,chr2,-,218287207,218287303,218285763,218285938,218281940,218282181,97,176,242
chr2:218289966:218290089:-@chr2:218285763:218285938:-@chr2:218281940:218282181:-,0.000477363081174483,0.128255813953488,0.251428571428571,0.50625,-0.254821428571429,-,ENSG00000135926.14,TMBIM1,chr2,-,218289966,218290089,218285763,218285938,218281940,218282181,124,176,242
chr2:38995123:38995387:-@chr2:38989270:38989314:-@chr2:38987473:38987591:-,0.004253331701065,0.468372093023256,0.23,0.44625,-0.21625,-,ENSG00000115904.12,SOS1,chr2,-,38995123,38995387,38989270,38989314,38987473,38987591,265,45,119
chr2:46956839:46957007:+@chr2:46958495:46958552:+@chr2:46974973:46975103:+,0.000154652607046971,0.716569767441861,0.444285714285714,0.7775,-0.333214285714286,-,ENSG00000068724.15,TTC7A,chr2,+,46956839,46957007,46958495,46958552,46974973,46975103,169,58,131
chr22:38129454:38129562:-@chr22:38128269:38128430:-@chr22:38126371:38126449:-,4.53461304994213e-05,0.394767441860465,0.50952380952381,0.2125,0.29702380952381,+,ENSG00000184381.18,PLA2G6,chr22,-,38129454,38129562,38128269,38128430,38126371,38126449,109,162,79
chr3:141876614:141876910:+@chr3:141902136:141902227:+@chr3:141903620:141903748:+,5.63557367431511e-05,0.485639534883721,0.348095238095238,0.7,-0.351904761904762,-,ENSG00000069849.10,ATP1B3,chr3,+,141876614,141876910,141902136,141902227,141903620,141903748,297,92,129
chr3:152445282:152445539:+@chr3:152446704:152446757:+@chr3:152447620:152447773:+,0.00052127958185434,0.353779069767442,0.725714285714286,0.48,0.245714285714286,+,ENSG00000152601.17,MBNL1,chr3,+,152445282,152445539,152446704,152446757,152447620,152447773,258,54,154
chr3:37094792:37094908:-@chr3:37091467:37091538:-@chr3:37083636:37083806:-,0.000524613579118774,0.708313953488372,0.618095238095238,0.84875,-0.230654761904762,-,ENSG00000093167.17,LRRFIP2,chr3,-,37094792,37094908,37091467,37091538,37083636,37083806,117,72,171
chr3:44477591:44477670:-@chr3:44458244:44458364:-@chr3:44455121:44455696:-,6.88499243522541e-05,0.736744186046512,0.783809523809524,0.335,0.448809523809524,+,ENSG00000185219.16,ZNF445,chr3,-,44477591,44477670,44458244,44458364,44455121,44455696,80,121,576
chr4:168924945:168925078:+@chr4:168925233:168925278:+@chr4:168926213:168928457:+,0.000969068609120903,0.334651162790698,0.124761904761905,0.32625,-0.201488095238095,-,ENSG00000129116.17,PALLD,chr4,+,168924945,168925078,168925233,168925278,168926213,168928457,134,46,2245
chr4:184649395:184649447:-@chr4:184648465:184648631:-@chr4:184638401:184638468:-,0.00462283816744673,0.344651162790698,0.356666666666667,0.58,-0.223333333333333,-,ENSG00000164305.18,CASP3,chr4,-,184649395,184649447,184648465,184648631,184638401,184638468,53,167,68
chr4:185646668:185646782:-@chr4:185638877:185639035:-@chr4:185635355:185635411:-,0.000746672819393888,0.393139534883721,0.223809523809524,0.43,-0.206190476190476,-,ENSG00000154556.17,SORBS2,chr4,-,185646668,185646782,185638877,185639035,185635355,185635411,115,159,57
chr4:185775227:185775366:-@chr4:185684754:185684846:-@chr4:185678796:185678822:-,0.000755742770696296,0.444593023255814,0.637142857142857,0.4325,0.204642857142857,+,ENSG00000154556.17,SORBS2,chr4,-,185775227,185775366,185684754,185684846,185678796,185678822,140,93,27
chr4:186595689:186595826:-@chr4:186592693:186592752:-@chr4:186590368:186590403:-,0.00396818825398181,0.332558139534884,0.276190476190476,0.52875,-0.252559523809524,-,ENSG00000083857.13,FAT1,chr4,-,186595689,186595826,186592693,186592752,186590368,186590403,138,60,36
chr4:20700459:20700706:+@chr4:20702141:20702221:+@chr4:20704466:20704533:+,0.00497758117231652,0.569186046511628,0.443333333333333,0.695,-0.251666666666667,-,ENSG00000163138.18,PACRGL,chr4,+,20700459,20700706,20702141,20702221,20704466,20704533,248,81,68
chr4:2926014:2926112:+@chr4:2926642:2926675:+@chr4:2928171:2930073:+,0.00024511441402169,0.331627906976744,0.570476190476191,0.32625,0.24422619047619,+,ENSG00000087274.16,ADD1,chr4,+,2926014,2926112,2926642,2926675,2928171,2930073,99,34,1903
chr4:38049618:38049898:+@chr4:38051899:38052060:+@chr4:38053106:38053225:+,0.000755742770696296,0.745755813953488,0.727619047619048,0.515,0.212619047619048,+,ENSG00000065882.15,TBC1D1,chr4,+,38049618,38049898,38051899,38052060,38053106,38053225,281,162,120
chr4:77030783:77030970:+@chr4:77036773:77036837:+@chr4:77039073:77039326:+,0.00578051668988057,0.4125,0.234285714285714,0.4425,-0.208214285714286,-,ENSG00000138758.11,SEPT11,chr4,+,77030783,77030970,77036773,77036837,77039073,77039326,188,65,254
chr5:128082735:128083172:-@chr5:128081973:128082191:-@chr5:128076947:128077093:-,0.000438366504561882,0.402848837209302,0.463809523809524,0.24125,0.222559523809524,+,ENSG00000245937.7,LINC01184,chr5,-,128082735,128083172,128081973,128082191,128076947,128077093,438,219,147
chr5:128082735:128083172:-@chr5:128081973:128082194:-@chr5:128076947:128077093:-,0.000821808973965973,0.394941860465116,0.462857142857143,0.2425,0.220357142857143,+,ENSG00000245937.7,LINC01184,chr5,-,128082735,128083172,128081973,128082194,128076947,128077093,438,222,147
chr5:150733368:150733475:-@chr5:150731886:150731906:-@chr5:150731416:150731489:-,0.000185234522231058,0.137616279069767,0.457142857142857,0.18125,0.275892857142857,+,ENSG00000132912.12,DCTN4,chr5,-,150733368,150733475,150731886,150731906,150731416,150731489,108,21,74
chr5:162149108:162149313:+@chr5:162151730:162151753:+@chr5:162153093:162155515:+,0.000274373698749475,0.494825581395349,0.390952380952381,0.63375,-0.242797619047619,-,ENSG00000113327.15,GABRG2,chr5,+,162149108,162149313,162151730,162151753,162153093,162155515,206,24,2423
chr6:3285079:3285111:-@chr6:3284936:3284959:-@chr6:3283852:3283975:-,0.000330714207463027,0.463953488372093,0.32952380952381,0.64625,-0.316726190476191,-,ENSG00000137266.14,SLC22A23,chr6,-,3285079,3285111,3284936,3284959,3283852,3283975,33,24,124
chr7:108168277:108168402:-@chr7:108166921:108167073:-@chr7:108160361:108160492:-,7.58106573312437e-05,0.366802325581395,0.517142857142857,0.815,-0.297857142857143,-,ENSG00000091129.19,NRCAM,chr7,-,108168277,108168402,108166921,108167073,108160361,108160492,126,153,132
chr7:143382801:143383322:+@chr7:143387762:143387787:+@chr7:143388219:143388339:+,6.81416498029847e-05,0.287674418604651,0.143333333333333,0.39375,-0.250416666666667,-,ENSG00000159840.15,ZYX,chr7,+,143382801,143383322,143387762,143387787,143388219,143388339,522,26,121
chr8:30544494:30544624:+@chr8:30549500:30549585:+@chr8:30558887:30558956:+,0.00177224741645011,0.0937209302325581,0.18047619047619,0.3825,-0.20202380952381,-,ENSG00000157110.15,RBPMS,chr8,+,30544494,30544624,30549500,30549585,30558887,30558956,131,86,70
chr8:38819522:38820635:+@chr8:38823990:38824025:+@chr8:38825308:38825368:+,4.34161271892181e-05,0.29203488372093,0.116666666666667,0.46,-0.343333333333333,-,ENSG00000147526.19,TACC1,chr8,+,38819522,38820635,38823990,38824025,38825308,38825368,1114,36,61
chr8:42319270:42319421:+@chr8:42319585:42319646:+@chr8:42320735:42320844:+,0.000752332767972241,0.760348837209302,0.726666666666667,0.52125,0.205416666666667,+,ENSG00000104365.13,IKBKB,chr8,+,42319270,42319421,42319585,42319646,42320735,42320844,152,62,110
chr9:128273850:128273972:-@chr9:128272785:128272865:-@chr9:128268420:128268524:-,4.48574968609275e-05,0.815,0.572857142857143,0.9075,-0.334642857142857,-,ENSG00000167110.17,GOLGA2,chr9,-,128273850,128273972,128272785,128272865,128268420,128268524,123,81,105
chr9:128459567:128459657:+@chr9:128460158:128460299:+@chr9:128460550:128460666:+,0.00209545212850924,0.103372093023256,0.372380952380952,0.15875,0.213630952380952,+,ENSG00000136811.16,ODF2,chr9,+,128459567,128459657,128460158,128460299,128460550,128460666,91,142,117
chr9:137577470:137577603:-@chr9:137576309:137576402:-@chr9:137576080:137576167:-,0.00579257859481394,0.473139534883721,0.434761904761905,0.23375,0.201011904761905,+,ENSG00000148399.12,DPH7,chr9,-,137577470,137577603,137576309,137576402,137576080,137576167,134,94,88
chrX:150776174:150776293:-@chrX:150771805:150771822:-@chrX:150770304:150770369:-,5.56454010152384e-05,0.211511627906977,0.142380952380952,0.3725,-0.230119047619048,-,ENSG00000102181.20,CD99L2,chrX,-,150776174,150776293,150771805,150771822,150770304,150770369,120,18,66
chrX:154357434:154357623:-@chrX:154357251:154357274:-@chrX:154354825:154355072:-,0.000126222819354369,0.644011627906977,0.422380952380952,0.7575,-0.335119047619048,-,ENSG00000196924.14,FLNA,chrX,-,154357434,154357623,154357251,154357274,154354825,154355072,190,24,248
chrX:31134102:31134194:-@chrX:31126642:31126673:-@chrX:31119228:31121930:-,6.84242855473156e-05,0.529651162790698,0.256190476190476,0.58625,-0.330059523809524,-,ENSG00000198947.15,DMD,chrX,-,31134102,31134194,31126642,31126673,31119228,31121930,93,32,2703
chrX:48818041:48818109:+@chrX:48818220:48818412:+@chrX:48820106:48820255:+,4.41802994084322e-05,0.744418604651163,0.872380952380952,0.6675,0.204880952380952,+,ENSG00000094631.18,HDAC6,chrX,+,48818041,48818109,48818220,48818412,48820106,48820255,69,193,150
