SE.event,MISO.eventID,group,mean.psi.dorsolateral,mean.psi.medial,mean.psi.orbital,mean.psi.ventrolateral,p.value,p.value.FDR
TACC2,chr10:122241958:122242001:+@chr10:122245065:122245073:+@chr10:122248643:122248803:+,Prenatal,0.84375,0.825625,0.833571428571429,0.915333333333333,0.121015468779365,0.999722392718333
TACC2,chr10:122241958:122242001:+@chr10:122245065:122245073:+@chr10:122248643:122248803:+,Postnatal,0.173157894736842,0.198947368421053,0.192631578947368,0.142857142857143,0.53671034382533,0.999722392718333
SORBS1a,chr10:95354882:95354967:-@chr10:95351209:95351376:-@chr10:95346406:95346452:-,Prenatal,0.39,0.365625,0.385714285714286,0.423333333333333,0.839920498422319,0.999722392718333
SORBS1a,chr10:95354882:95354967:-@chr10:95351209:95351376:-@chr10:95346406:95346452:-,Postnatal,0.893157894736842,0.885263157894737,0.890526315789474,0.873333333333333,0.969997290482113,0.999722392718333
SORBS1b,chr10:95354882:95354967:-@chr10:95351216:95351376:-@chr10:95346406:95346452:-,Prenatal,0.37125,0.338125,0.367857142857143,0.392666666666667,0.851068234907433,0.999722392718333
SORBS1b,chr10:95354882:95354967:-@chr10:95351216:95351376:-@chr10:95346406:95346452:-,Postnatal,0.872631578947368,0.868947368421053,0.858947368421053,0.861904761904762,0.979544738367971,0.999722392718333
SORBS1c,chr10:95381685:95381799:-@chr10:95375973:95376056:-@chr10:95367650:95367699:-,Prenatal,0.25,0.28375,0.256428571428571,0.292,0.418959705688753,0.999722392718333
SORBS1c,chr10:95381685:95381799:-@chr10:95375973:95376056:-@chr10:95367650:95367699:-,Postnatal,0.756842105263158,0.709473684210526,0.752631578947368,0.716190476190476,0.310178811950937,0.999722392718333
NUMA1,chr11:72012895:72016260:-@chr11:72012401:72012442:-@chr11:72010786:72010854:-,Prenatal,0.055,0.045,0.0592857142857143,0.0653333333333333,0.367877129099279,0.999722392718333
NUMA1,chr11:72012895:72016260:-@chr11:72012401:72012442:-@chr11:72010786:72010854:-,Postnatal,0.407894736842105,0.385789473684211,0.395263157894737,0.397142857142857,0.864972926917089,0.999722392718333
CAMKK2,chr12:121245140:121245240:-@chr12:121244573:121244615:-@chr12:121237697:121240869:-,Prenatal,0.046875,0.04,0.0442857142857143,0.0426666666666667,0.80554914835807,0.999722392718333
CAMKK2,chr12:121245140:121245240:-@chr12:121244573:121244615:-@chr12:121237697:121240869:-,Postnatal,0.585789473684211,0.537894736842105,0.61,0.574761904761905,0.714900975151783,0.999722392718333
DNM1L,chr12:32701415:32701562:+@chr12:32705825:32705863:+@chr12:32707367:32707413:+,Prenatal,0.1525,0.165,0.139285714285714,0.149333333333333,0.632043300801058,0.999722392718333
DNM1L,chr12:32701415:32701562:+@chr12:32705825:32705863:+@chr12:32707367:32707413:+,Postnatal,0.495263157894737,0.462105263157895,0.473684210526316,0.455714285714286,0.875939823337926,0.999722392718333
PPHLN1,chr12:42374863:42375074:+@chr12:42384940:42384996:+@chr12:42387456:42387535:+,Prenatal,0.075,0.080625,0.0964285714285714,0.088,0.816150087539104,0.999722392718333
PPHLN1,chr12:42374863:42375074:+@chr12:42384940:42384996:+@chr12:42387456:42387535:+,Postnatal,0.418421052631579,0.455789473684211,0.432105263157895,0.413333333333333,0.670196949292899,0.999722392718333
DCLK1,chr13:35793366:35793479:-@chr13:35788212:35788285:-@chr13:35768652:35774699:-,Prenatal,0.0475,0.049375,0.0442857142857143,0.048,0.957070838669068,0.999722392718333
DCLK1,chr13:35793366:35793479:-@chr13:35788212:35788285:-@chr13:35768652:35774699:-,Postnatal,0.479473684210526,0.507368421052632,0.433157894736842,0.467619047619048,0.415630265604498,0.999722392718333
MBNL2a,chr13:97346804:97347067:+@chr13:97356796:97356849:+@chr13:97357482:97357635:+,Prenatal,0.675,0.701875,0.671428571428571,0.704666666666667,0.706725246802935,0.999722392718333
MBNL2a,chr13:97346804:97347067:+@chr13:97356796:97356849:+@chr13:97357482:97357635:+,Postnatal,0.376842105263158,0.317368421052632,0.316842105263158,0.310952380952381,0.75855890443437,0.999722392718333
MBNL2b,chr13:97357482:97357635:+@chr13:97366459:97366553:+@chr13:97391322:97394120:+,Prenatal,0.628125,0.665625,0.652857142857143,0.649333333333333,0.876415856163335,0.999722392718333
MBNL2b,chr13:97357482:97357635:+@chr13:97366459:97366553:+@chr13:97391322:97394120:+,Postnatal,0.433684210526316,0.391578947368421,0.366842105263158,0.371904761904762,0.634649049100519,0.999722392718333
MBNL2c,chr13:97365136:97365171:+@chr13:97366459:97366553:+@chr13:97391322:97394120:+,Prenatal,0.695625,0.675625,0.712142857142857,0.753333333333333,0.753840720366308,0.999722392718333
